Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C76,100nF,C_0402,66.845165,-154.365867,180.0,top
C77,100nF,C_0402,59.645165,-155.443846,180.0,top
C78,100nF,C_0402,29.045165,-150.965867,-135.0,top
C79,4.7uF,C_1206,63.506633,-163.310551,90.0,bottom
C8,100nF,C_0402,47.105165,-160.350867,180.0,top
C8,100nF,C_0402,45.409565,-124.758767,90.0,top
C80,4.7uF,C_1206,58.4,-163.288315,90.0,bottom
C81,1uF,C_0805,57.738311,-154.285168,90.0,bottom
C82,4.7uF,C_1206,57.5495,-158.299992,270.0,bottom
C83,4.7uF,C_1206,59.88385,-153.671563,90.0,bottom
C84,4.7uF,C_1206,62.212208,-153.671563,90.0,bottom
C85,4.7uF,C_1206,62.142332,-158.334188,270.0,bottom
C86,4.7uF,C_1206,59.845165,-158.313699,270.0,bottom
C87,4.7uF,C_1206,64.50978,-153.649083,90.0,bottom
C88,4.7uF,C_1206,71.645165,-163.165867,90.0,top
C89,4.7uF,C_1206,65.873323,-162.650342,90.0,bottom
C9,100nF,C_0402,48.199999,-128.134442,-90.0,top
C90,1uF,C_0805,64.308521,-157.755307,270.0,bottom
C91,2.2uF,C_1206,33.845165,-152.565867,45.0,top
C92,100nF,C_0402,29.650707,-157.094859,315.0,bottom
C93,10pF,C_0402,64.602927,-149.782619,90.0,top
C94,10pF,C_0402,63.431458,-139.246951,180.0,bottom
C95,4.7uF,C_1206,60.392997,-140.765867,90.0,top
C96,4.7uF,C_1206,57.992996,-140.765869,90.0,top
C97,4.7uF,C_1206,40.645165,-136.165866,0.0,bottom
C98,4.7uF,C_1206,40.645165,-140.165868,0.0,bottom
C99,4.7uF,C_1206,65.393625,-142.773664,180.0,bottom
D1,ESD8004MUTAG,UDFN-10_L2.5-W1.0-P0.50-BL,54.070965,-116.792867,180.0,top
D2,ESD8004MUTAG,UDFN-10_L2.5-W1.0-P0.50-BL,47.568565,-116.818267,0.0,top
D3,ESD8004MUTAG,UDFN-10_L2.5-W1.0-P0.50-BL,50.565765,-117.504067,180.0,bottom
